Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
73,-23,https://www.tiktok.com/malouka82,https://www.tiktok.com/malouka82/video/6937768408452795653,Oh No,Kreepa,/track?id=29425832,https://www.tiktok.com/music/Oh-No-6586947002464996102,6.3M,0,287.8K,4K,50,"Mar 10, 2021",,6,USUYG1287925
74,17,https://www.tiktok.com/nikko115,https://www.tiktok.com/nikko115/video/6935854492344716550,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,21.5M,0,1.1M,7.4K,4,"Mar 8, 2021",,43,TCAFB2092742
75,New,https://www.tiktok.com/normarie.y.samir,https://www.tiktok.com/normarie.y.samir/video/6938147600923249925,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,2.8M,0,222.2K,1.8K,75,"Mar 11, 2021",,3,USUAN1400011
76,New,https://www.tiktok.com/dabigmaks,https://www.tiktok.com/dabigmaks/video/6938086671317568774,Among Us,iamjuampi,/track?id=31419761,https://www.tiktok.com/music/Among-Us-6872101055790843906,3.3M,0,75.4K,598,76,"Mar 11, 2021",,13,QZK6J2095138
77,New,https://www.tiktok.com/menbattal,https://www.tiktok.com/menbattal/video/6938106693502946561,Şeytan diyor ki (Slow Version),Cansever,/track?id=28937236,https://www.tiktok.com/music/Şeytan-diyor-ki-Slow-Version-6813397935917647874,3.8M,0,166.6K,0,77,"Mar 11, 2021",,8,USCGJ2085352
78,-54,https://www.tiktok.com/kylact,https://www.tiktok.com/kylact/video/6937809307484359942,Still Learning,Halsey,/track?id=28206744,https://www.tiktok.com/music/Still-Learning-6883604399407499265,8M,0,1.6M,5.4K,24,"Mar 10, 2021",,18,USUM71918754
79,-51,https://www.tiktok.com/torinishino,https://www.tiktok.com/torinishino/video/6937358486472887557,In A Club,"VOLAC, illusionize, Andre Longo",/track?id=24924198,https://www.tiktok.com/music/In-A-Club-6685628636940225282,14.4M,0,1.7M,5.9K,16,"Mar 9, 2021",,62,DEE861903105
80,6,https://www.tiktok.com/bellapoarch,https://www.tiktok.com/bellapoarch/video/6937034500073327878,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,22.3M,0,4M,61.6K,2,"Mar 8, 2021",,6,TCAFB2092742
81,23,https://www.tiktok.com/crazywillson82,https://www.tiktok.com/crazywillson82/video/6937987765845986565,Can't Be Touched (feat. Mr. Magic & Trouble),"Roy Jones Jr., Mr Magic, Trouble",/track?id=14232434,https://www.tiktok.com/music/Can't-Be-Touched-feat-Mr-Magic-Trouble-6761696006737233921,5M,0,285.1K,441,81,"Mar 11, 2021",,36,TCABF1200656
82,-30,https://www.tiktok.com/corbin_maxey,https://www.tiktok.com/corbin_maxey/video/6937779728359181573,Caution,KAYTRANADA,/track?id=32870431,https://www.tiktok.com/music/Caution-6929628989015197698,7.7M,0,1.6M,6K,52,"Mar 10, 2021",,11,USRC12100352
